Day,JEC,JSC,TCG
67,0.059867173,0.398134401,0.750222849
68,0.100081343,0.30704866,0.386541459
69,0.203281133,0.485629898,0.681064433
70,0.040508756,0.204988927,0.136200396
71,0.123618711,0.249606854,0.203212405
72,0.681047049,0.147768514,0.443754992
73,0.526689284,0.844155736,0.965525369
74,0.108846073,0.891853571,0.979806861
75,0.895486803,0.645921132,0.909777454
76,0.449147999,0.948814351,0.035803044
77,0.013669587,0.100786688,0.2233151
78,0.541875914,0.148955649,0.946158732
79,0.484720534,0.269146752,0.069667768
80,0.125062748,0.555095526,0.690982913
81,0.977201497,0.210473383,0.002116921
82,0.372159693,0.279005361,0.918709362
83,0.827616112,0.615799181,0.142923551
84,0.481526539,0.568789899,0.506672276
85,0.985366365,0.0926061,0.003405445
86,0.633073043,0.921865883,0.345446422
87,0.004697193,0.747477488,0.444870371
88,0.60756679,0.700015875,0.777563041
89,0.755527966,0.494744229,0.736078294
90,0.704567617,0.167232626,0.756984822
91,0.521756947,0.522297399,0.950323551
92,0.278162605,0.37183488,0.986238548
93,0.979576478,0.48731643,0.16433521
94,0.720328847,0.590545939,0.921080829
95,0.070386281,0.189545035,0.622652303
96,0.864499477,0.804608877,0.86067089
97,0.918130414,0.547770284,0.405134246
98,0.249261581,0.08432451,0.606658657
99,0.104964622,0.883608849,0.541492969
100,0.991824918,0.569797144,0.665231966
101,0.302898946,0.351595494,0.766844494
102,0.253165845,0.804694976,0.768338643
103,0.929347335,0.684030822,0.199674946
104,0.910085885,0.366721748,0.942126415
105,0.545759105,0.624698809,0.104511193
106,0.509104636,0.979587655,0.470588027
107,0.654999606,0.614266857,0.121082673
108,0.613538946,0.57546844,0.635781409
109,0.718801473,0.452236634,0.833706992
110,0.076093871,0.151273915,0.055044791
111,0.952800441,0.313708779,0.152055748
112,0.570025866,0.863942312,0.871365696
113,0.396487885,0.34118366,0.308450284
114,0.054129604,0.170811824,0.086055565
115,0.269293609,0.447906134,0.394820577
116,0.571651965,0.491557871,0.761002451
117,0.909883336,0.688033222,0.003889816
118,0.852683756,0.693918437,0.864383618
119,0.923629327,0.41876937,0.41922615
120,0.74405945,0.707179852,0.596232594
121,0.423737458,0.129723895,0.604503563
122,0.802381456,0.813188346,0.059207194
123,0.36526954,0.033675218,0.547235907
124,0.898395511,0.834827589,0.13596319
125,0.385819649,0.37577134,0.751287138
126,0.799111169,0.908332331,0.384974317
127,0.822615911,0.645040402,0.043495389
128,0.799693057,0.277710838,0.727450068
129,0.858646162,0.933200666,0.876903243
130,0.206676451,0.787421644,0.746112975
131,0.875403084,0.371427485,0.637560144
132,0.217586687,0.53059667,0.80627178
133,0.191889023,0.716384964,0.641764761
134,0.654150979,0.489792532,0.476186292
135,0.932474469,0.588578481,0.490118734
136,0.441682718,0.692205141,0.161667717
137,0.487247841,0.464451223,0.61486741
138,0.019310826,0.531411394,0.221745298
139,0.025815962,0.888613858,0.660686062
140,0.641478519,0.312150114,0.457536847
141,0.454444573,0.815289765,0.8613693
142,0.159882148,0.087306911,0.916096436
143,0.387809545,0.650821858,0.871465438
144,0.631041933,0.250340761,0.431579884
145,0.593686131,0.598765967,0.99753333
146,0.450555672,0.619538528,0.939726246
147,0.498692064,0.680375084,0.447733514
148,0.956498892,0.753007038,0.434417535
149,0.955674308,0.260846794,0.815976975
150,0.017243413,0.710444266,0.441228113
151,0.30589642,0.653273271,0.740684326
152,0.34221121,0.866024417,0.041960798
153,0.974647952,0.638262672,0.810492079
154,0.688671229,0.597063921,0.129889299
155,0.418576148,0.164261577,0.356405888
156,0.07934899,0.728387288,0.959871295
157,0.937037391,0.15470635,0.421644327
158,0.366093958,0.142636131,0.990341887
159,0.737920785,0.060289957,0.595657117
160,0.930851506,0.938671934,0.687849747
161,0.512610806,0.946105423,0.657099055
162,0.047174011,0.103105841,0.095605459
163,0.644842972,0.972889461,0.460944894
164,0.627773402,0.403336491,0.300155271
165,0.934042628,0.357808418,0.595598913
166,0.26433127,0.06509539,0.502392994
167,0.743609254,0.086258759,0.621333897
168,0.344089005,0.572417693,0.828033364
169,0.840860657,0.532252297,0.980974411
170,0.221345847,0.811215358,0.044273261
171,0.576334317,0.637961411,0.866581793
172,0.041973071,0.062495787,0.793146979
173,0.215682771,0.771264927,0.791384983
174,0.416323321,0.977168221,0.883253203
175,0.892004143,0.069261535,0.938213304
176,0.910806004,0.754039119,0.141974447
177,0.931788304,0.260095974,0.149176981
178,0.334828818,0.438551826,0.341288533
179,0.447623452,0.925216808,0.128846803
180,0.385895061,0.382503887,0.226490501
181,0.900088732,0.621073977,0.594439515
182,0.158918263,0.655653925,0.374658587
183,0.143852511,0.856813009,0.882862052
184,0.136788261,0.558070717,0.209282352
185,0.341573259,0.668898157,0.023154936
186,0.831102501,0.381364339,0.007658821
187,0.050831896,0.846878721,0.216535673
188,0.709581815,0.6415573,0.139259454
189,0.249810011,0.389675461,0.052246855
190,0.591591114,0.496490476,0.511983989
191,0.338011846,0.851923286,0.932704638
192,0.023709081,0.799222111,0.181768656
193,0.313495011,0.405698264,0.9189071
194,0.84995357,0.427181904,0.017553556
195,0.506412227,0.710874965,0.853118877
196,0.325307261,0.442117704,0.111887945
197,0.974506342,0.721616013,0.536283542
198,0.157381928,0.323706661,0.134595223
199,0.064919684,0.192397771,0.447563444
200,0.335372475,0.009792973,0.19309086
201,0.237565321,0.436427558,0.504216756
202,0.291249649,0.326272904,0.004305073
203,0.652330572,0.523721367,0.852614241
204,0.841322971,0.623675616,0.783541193
205,0.47345679,0.338394118,0.349140732
206,0.071888153,0.796370342,0.980013899
207,0.991052862,0.552268601,0.09380901
208,0.131302564,0.240056805,0.163633288
209,0.724501518,0.410526833,0.566325985
210,0.374272815,0.266985186,0.094708787
211,0.761137461,0.797977019,0.552889088
212,0.639582775,0.820736939,0.015652627
213,0.310793484,0.123000696,0.52310887
214,0.45773049,0.002952386,0.941741706
215,0.462468598,0.030405113,0.182897133
216,0.780887981,0.537335236,0.033401067
217,0.982136545,0.996068804,0.408369745
218,0.749125262,0.019660805,0.029925278
219,0.696775239,0.015144882,0.763157546
220,0.064511387,0.753292542,0.644088847
221,0.635856739,0.801722163,0.030917328
222,0.367377507,0.672507283,0.318445163
223,0.943412975,0.866936341,0.782594774
224,0.298700794,0.889484796,0.466299081
225,0.049457344,0.321817963,0.419982489
226,0.297889074,0.03379647,0.970282514
227,0.249478766,0.520297094,0.07893608
228,0.435377566,0.508521866,0.882363663
229,0.187020324,0.658347392,0.350035129
230,0.708556242,0.729558147,0.618799792
231,0.999333352,0.929627037,0.72398813
232,0.181876967,0.401270557,0.594548926
233,0.59662777,0.082024222,0.504246322
234,0.975546841,0.803993612,0.832328736
235,0.16667191,0.738005424,0.284341271
236,0.834721031,0.621854586,0.77979837
237,0.174939003,0.773840879,0.450191764
238,0.91313613,0.27106735,0.065097475
239,0.375860477,0.477485642,0.72422537
240,0.279241476,0.251796032,0.433469726
241,0.254092866,0.244309951,0.163564687
242,0.438505171,0.529733547,0.020443577
243,0.382577528,0.774001681,0.094222158
244,0.822951301,0.333036229,0.245337116
245,0.328895437,0.657705592,0.753128482
246,0.071717048,0.265868021,0.894858675
247,0.590394877,0.946927208,0.162004218
248,0.726986194,0.04020342,0.195893614
249,0.857784738,0.824447848,0.689447649
250,0.238442234,0.382124608,0.166673648
251,0.4509055,0.772540352,0.66324902
252,0.453204666,0.900363203,0.074944554
253,0.021600386,0.703698148,0.094792205
254,0.946731563,0.353163097,0.271511286
255,0.469292213,0.489830541,0.5160048
256,0.347125303,0.453739363,0.607074937
257,0.203528254,0.993680231,0.42466571
258,0.736526337,0.868453264,0.567144697
259,0.965475957,0.499264012,0.13235271
260,0.297597977,0.651386649,0.929273911
261,0.485364942,0.233423686,0.152586743
262,0.852298561,0.22081142,0.571676988
263,0.689279041,0.957950142,0.584345014
264,0.327117569,0.076189276,0.614910435
265,0.585497312,0.535375517,0.648672142
266,0.579460144,0.277766542,0.356024135
267,0.599943665,0.43663578,0.744373859
268,0.046894427,0.164966761,0.895524768
269,0.098413127,0.310739146,0.649138718
270,0.433645201,0.794916151,0.34945417
271,0.550953701,0.8656808,0.725616427
272,0.464547497,0.223519591,0.750151585
273,0.274378275,0.293640762,0.863843358
274,0.234124242,0.989429854,0.211391653
275,0.591469941,0.76304149,0.809029707
276,0.420493133,0.657760965,0.54641448
277,0.251943412,0.735735687,0.751186485
278,0.113472928,0.53319228,0.213304425
279,0.005690076,0.20147326,0.57251248
280,0.756232369,0.061927352,0.556531879
281,0.810582125,0.041584639,0.233803163
282,0.137928817,0.612077461,0.854043139
283,0.492401479,0.756020547,0.510993604
284,0.402012491,0.829832058,0.567121742
285,0.279686152,0.272225843,0.190747565
286,0.150284109,0.83049073,0.66819313
287,0.578125598,0.487305095,0.475804198
288,0.865418994,0.134704591,0.572111776
289,0.331083494,0.455191622,0.828355326
290,0.111169018,0.726160249,0.28851938
291,0.427310628,0.850644896,0.408928042
292,0.329774166,0.067125123,0.488537159
293,0.087643793,0.864480646,0.335770314
294,0.157856858,0.127392267,0.100863674
295,0.594171769,0.170248834,0.148180422
296,0.346579177,0.881733027,0.526841773
297,0.601992904,0.765071714,0.389340672
298,0.320018438,0.359317522,0.569280724
299,0.916173355,0.475702523,0.842977643
300,0.231588895,0.914926132,0.328727201
301,0.735048068,0.93239194,0.099305779
302,0.564829664,0.609955648,0.912112063
303,0.472452966,0.554984255,0.242682425
304,0.573450319,0.73866901,0.597201082
305,0.499442903,0.659188566,0.114696875
306,0.05916523,0.38120088,0.216373985
307,0.628210222,0.807161581,0.707465055
308,0.996667868,0.384563553,0.788896102
309,0.491537383,0.670741319,0.530964129
310,0.276083005,0.745358179,0.49913905
311,0.643179293,0.179723976,0.851377124
312,0.250346076,0.316310083,0.104698541
313,0.031601939,0.449576608,0.680681254
314,0.303614613,0.006227305,0.043923274
315,0.071303276,0.84051512,0.560414313
316,0.161846696,0.908541248,0.143441135
317,0.570276077,0.18153961,0.524629152
318,0.923616669,0.692589433,0.398740434
319,0.217862624,0.986567499,0.692362622
320,0.735533522,0.158287922,0.85545744
321,0.432563025,0.914833866,0.73096987
322,0.919098164,0.488995307,0.492111383
323,0.761577924,0.658574575,0.176868794
324,0.427610302,0.806099352,0.946817898
325,0.794919162,0.362816606,0.307425989
326,0.144219696,0.795597789,0.138812447
327,0.68244136,0.874246849,0.659773896
328,0.312113703,0.453876513,0.254123836
329,0.144692689,0.703567375,0.730820073
330,0.382795366,0.736734128,0.022302459
331,0.714331571,0.585442538,0.055125706
332,0.086137069,0.711953788,0.667011717
333,0.188382596,0.046083243,0.865773454
334,0.573167506,0.867720047,0.187339296
335,0.394655884,0.70595299,0.147022009
336,0.740399529,0.197173977,0.097328987
337,0.208978282,0.603092576,0.815999236
338,0.189981894,0.021978006,0.640419382
339,0.56789938,0.674353325,0.638751589
340,0.382958604,0.841401182,0.491976473
341,0.075348153,0.046591619,0.298759176
342,0.284810223,0.099168081,0.492546213
343,0.627665874,0.504897296,0.813357976
344,0.280799325,0.65284646,0.910791275
345,0.309345005,0.388571895,0.033702196
346,0.954043851,0.750115931,0.141228749
347,0.980972571,0.779900176,0.231972325
348,0.397485703,0.045293321,0.909461956
349,0.22583256,0.702606227,0.334915728
350,0.056090738,0.734807807,0.162001319
351,0.753892822,0.7471826,0.24933104
352,0.993110513,0.358328285,0.055234086
353,0.700614952,0.643669352,0.764440482
354,0.754273138,0.140857082,0.145795171
355,0.941158332,0.468150566,0.978449029
356,0.490422653,0.552696031,0.649161682
357,0.368312014,0.21878375,0.208931664
358,0.386430842,0.090101585,0.146639624
359,0.560922252,0.313863687,0.534553324
360,0.541169249,0.831999435,0.732310802
361,0.854154391,0.132845987,0.897204476
362,0.200251069,0.956069596,0.40299955
363,0.333677114,0.21435816,0.190405752
364,0.814636273,0.924531875,0.551838423
365,0.583327354,0.867001275,0.859505988
366,0.373881081,0.771071064,0.97402457
