"","Plant Number","State","Plant Name","FIPS State Code","FIPS County Code","Latitude","Longitude","Centroid","Generators","Combustion Status","Capacity Factor","Nameplate Capacity","Annual Heat Input","Annual Net Generation","Annual NOx Emissions","Annual SO2 Emissions","Annual CO2 Emissions","Annual CH4 Emissions","Annual N20 Emissions","Annual Hg Emissions","Annual NOx Output Emission Rate","Ozone Season NOx Output Emission Rate","Annual SO2 Output Emission Rate","Annual CO2 Output Emission Rate","Annual CH4 Output Emission Rate","Annual N2O Output Emission Rate","Annual CO2 Equivalent Emission Rate","Annual Hg Output Emission Rate","Annual NOx Output Emission Rate","Ozone Season NOx Input Emission Rate","Annual SO2 Input Emission Rate","Annual CO2 Input Emission Rate","Annual NOx Combustion Output Emission Rate","Ozone Season NOx Combustion Output Emission Rate","Annual SO2 Combustion Output Emission Rate","Annual CO2 Combustion Output Emission Rate","Annual CH4 Combustion Output Emission Rate","Annual N2O Combustion Output Emission Rate","Unadjusted Annual NOx Emissions","Unadjusted Ozone Season NOx Emissions","Unadjusted Annual SO2 Emissions","Unadjusted Annual CO2 Emissions","Unadjusted Annual CH4 Emissions","Unadjusted Annual N2O Emissions","Unadjusted Annual Heat Input","Nomial Heat Rate","Annual Coal Net Generation","Annual Oil Net Generation","Annual Gas Net Generation","Annual Nuclear Net Generation","Annual Hydro Net Generation","Annual Biomass Net Generation","Annual Wind Net Generation","Annual Solar Net Generation","Annual Geothermal Net Generation","Annual Other Fossil Net Generation","Annual Unknown Net Generation","Plant Annual Nonrenewable Net Generation","NewFIPS","Height","Diameter","Velocity"
"598",598,"CA","Contra Costa",6,13,38.0192,-121.7642,0,2,1,0.0209,"718","1,612,651.20","131,370.00","9.1","0.48","95,837.30","3,751.00","375.7",-99,"0.1386","0.1354","0.0074","1,459.04","28.55","2.86","1,460.53",-99,0.0113,0.0115,6e-04,118.86,"0.1386","0.1354","0.0074","1,459.04","28.55","2.86","9.1","4.9","0.48","95,837.30","3,751.00","375.7","1,612,651.20","12,275.64","0","0","131,370.00","0","0","0","0","0","0","0","0","131,370.00",6013,11.613,0.4572,7.01
"688",688,"CA","East Winds Project",6,65,34,-116.5206,0,1,0,0.4119,"4.2","0","15,156.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","15,156.00","0","0","0","0","0",6065,9.7536,0.823,7.925
"697",697,"CA","El Dorado",6,17,38.7936,-120.6192,0,2,0,0.3843,"20","0","67,329.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","67,329.00","0","0","0","0","0","0","0",6017,17.6784,1.6764,9.7028
"773",773,"CA","Genesis Solar Energy Project",6,65,33.665,-114.9981,0,2,0,0,"250","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",6065,9.7536,0.5486,9.144
"817",817,"CA","Hanford Energy Park Peaker",6,31,36.2701,-119.6481,0,2,1,0.0949,"92.2","809,580.50","76,684.00","5.55","0.24","48,112.10","1,883.10","188.6",-99,"0.1446","0.1852","0.0063","1,254.81","24.56","2.46","1,256.09",-99,0.0137,0.0121,6e-04,118.86,"0.1446","0.1852","0.0063","1,254.81","24.56","2.46","5.55","3.15","0.24","48,112.10","1,883.10","188.6","809,580.50","10,557.36","0","0","76,684.00","0","0","0","0","0","0","0","0","76,684.00",6031,12.009,0.9144,10.375
"877",877,"CA","James B Black",6,89,40.9923,-121.9752,0,2,0,0.4242,"168.6","0","626,587.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","626,587.00","0","0","0","0","0","0","0",6089,9.7536,0.5486,9.144
"880",880,"CA","John L. Featherstone Plant",6,25,33.2046,-115.5733,0,1,0,0.7315,"55","0","352,423.00","0","61.67","10,572.70","0","0",-99,"0","0","0.35","60","0","0","60",-99,0,0,0,0,"0","0","0","0","0","0","0","0","61.67","10,572.70","0","0","0","-99","0","0","0","0","0","0","0","0","352,423.00","0","0","0",6025,9.7536,0.4572,9.296
"958",958,"CA","Lundy",6,51,38.0427,-119.172,0,2,0,0.0849,"3","0","2,230.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","2,230.00","0","0","0","0","0","0","0",6051,9.7536,0.823,7.925
"998",998,"CA","Milliken Plant",6,71,34.0372,-117.5569,0,2,1,0.6027,"2.2","219,783.00","11,616.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","29.78","11.79","1.04","12,614.00","511.2","51.2","219,783.00","18,920.71","0","0","0","0","0","11,616.00","0","0","0","0","0","0",6071,11.613,0.4572,7.01
"1079",1079,"CA","Olsen",6,89,40.6705,-121.8906,0,1,0,0.0214,"5","0","936","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","936","0","0","0","0","0","0","0",6089,9.144,0.6096,6.675
"1109",1109,"CA","Pardee",6,9,38.2569,-120.8507,0,3,0,0.3329,"23.6","0","68,819.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","68,819.00","0","0","0","0","0","0","0",6009,11.613,0.4572,7.01
"1156",1156,"CA","R C Kirkwood",6,109,37.8777,-119.9532,0,3,0,0.392,"115.5","0","396,620.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","396,620.00","0","0","0","0","0","0","0",6109,27.432,1.4478,11.95
"1196",1196,"CA","Rio Bravo Poso",6,29,35.5475,-119.0754,0,1,1,0.3511,"38.2","1,465,160.60","117,499.00","50.04","1,080.04","151,620.10","3,501.10","5,092.10",-99,"0.8517","0.8434","18.3838","2,580.79","29.8","43.34","2,594.85",-99,0.0683,0.0684,1.4743,206.97,"0.8517","0.8434","18.3838","2,580.79","29.8","43.34","51.66","43.05","1,115.00","156,714.40","3,614.50","5,256.90","1,512,593.90","12,469.56","105,212.20","11,561.30","614.8","0","0","110.8","0","0","0","0","0","117,388.20",6029,9.144,0.6401,9.327
"1197",1197,"CA","Rio Bravo Rocklin",6,61,38.8319,-121.3137,0,1,1,0.7259,"27.9","2,786,996.00","177,424.00","101.03","6.69","773.7","193,583.60","25,810.10",-99,"1.1388","1.3253","0.0754","8.72","1,091.08","145.47","76.73",-99,0.0725,0.0808,0.0048,0.56,"1.1388","1.3253","0.0754","8.72","1,091.08","145.47","101.03","52.71","6.69","287,548.10","193,583.60","25,810.10","2,786,996.00","15,708.11","0","0","857","0","0","176,567.00","0","0","0","0","0","857",6061,9.144,0.6401,9.327
"1521",1521,"CA","Wilbur West Power Plant",6,13,38.0117,-121.7808,0,1,1,0.0843,"20.5","187,162.40","15,142.00","5.05","366.12","20,277.50","436.2","605.4",-99,"0.6675","0","48.3587","2,678.31","28.81","39.98","2,691.31",-99,0.054,0,3.9124,216.68,"0.6675","0","48.3587","2,678.31","28.81","39.98","5.05","0","366.12","20,277.50","436.2","605.4","187,162.40","12,360.48","0","13,985.10","1,156.90","0","0","0","0","0","0","0","0","15,142.00",6013,9.7536,0.823,7.925
"1522",1522,"CA","Wild Horse Power Plant",6,97,38.8417,-122.83,0,1,0,0,"48","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",6097,9.7536,0.823,7.925
"1575",1575,"CO","Colorado Green Holdings LLC",8,99,37.7033,-102.6231,0,1,0,0.3661,"162","0","519,504.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","519,504.00","0","0","0","0","0",8099,7.3152,1.0668,11.83
"1579",1579,"CO","Crystal",8,85,38.5106,-107.6253,0,1,0,0.4937,"28","0","121,106.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","121,106.00","0","0","0","0","0","0","0",8085,182.87108,7.61963,22.24931
"1620",1620,"CO","Marys Lake",8,69,40.3441,-105.5343,0,1,0,0.7049,"8.1","0","50,019.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","50,019.00","0","0","0","0","0","0","0",8069,9.7536,0.823,7.925
"1671",1671,"CO","Valmont Combustion Turbine Project",8,13,40.0205,-105.2009,0,2,1,0.0012,"142.2","12,281.30","1,488.00","0.68","0","730.1","28.6","2.9",-99,"0.9123","1.7314","0.0049","981.34","19.2","1.92","982.34",-99,0.1105,0.1105,6e-04,118.9,"0.9123","1.7314","0.0049","981.34","19.2","1.92","0.93","0.93","0.01","1,001.50","39.2","3.9","16,846.00","8,253.55","0","0","1,488.00","0","0","0","0","0","0","0","0","1,488.00",8013,8.8392,0.762,10.06
"1683",1683,"CT","Bradley Energy Center",9,3,41.9247,-72.6711,0,4,1,0.3918,"5.8","256,436.00","19,904.80","34.75","0.41","14,987.10","596.5","59.7",-99,"3.4913","3.4913","0.041","1,505.88","29.97","3","1,507.44",-99,0.271,0.271,0.0032,116.89,"3.4913","3.4913","0.041","1,505.88","29.97","3","34.75","15.68","0.41","14,987.10","596.5","59.7","256,436.00","12,883.14","0","0","19,904.80","0","0","0","0","0","0","0","0","19,904.80",9003,9.7536,0.4572,9.296
"1688",1688,"CT","Bulls Bridge",9,5,41.659,-73.492,0,6,0,0.4723,"7.2","0","29,788.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","29,788.00","0","0","0","0","0","0","0",9005,9.6012,0.6349,8.839
"1723",1723,"CT","Lake Road Generating Plant",9,15,41.872,-71.8958,0,3,1,0.6165,"840","32,496,195.10","4,536,819.00","132.38","9.75","1,931,244.80","75,586.10","7,571.60",-99,"0.0584","0.0509","0.0043","851.37","16.66","1.67","852.23",-99,0.0081,0.0071,6e-04,118.86,"0.0584","0.0509","0.0043","851.37","16.66","1.67","132.38","59.77","9.75","1,931,244.80","75,586.10","7,571.60","32,496,195.10","7,162.77","0","0","4,536,819.00","0","0","0","0","0","0","0","0","4,536,819.00",9015,11.582,0.5791,5.364
"1732",1732,"CT","New Milford Gas Recovery",9,5,41.5503,-73.4181,0,4,1,0.5864,"2.4","156,438.00","12,329.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","21.2","9.14","0.52","8,978.50","363.9","36.5","156,438.00","12,688.62","0","0","0","0","0","12,329.00","0","0","0","0","0","0",9005,18.288,0.4572,1.6408
"1796",1796,"FL","Avon Park",12,55,27.5794,-81.4928,0,2,1,8e-04,"67.4","6,675.40","479","1.22","0.07","493.1","29.8","5.1",-99,"5.0731","7.201","0.3006","2,058.78","62.12","10.67","2,063.40",-99,0.364,0.3661,0.0216,147.73,"5.0731","7.201","0.3006","2,058.78","62.12","10.67","1.22","1.05","0.07","493.1","29.8","5.1","6,675.40","13,936.16","0","313.3","165.7","0","0","0","0","0","0","0","0","479",12055,7.681,0.6096,2.012
"1803",1803,"FL","Bryant Sugar House",12,99,26.8142,-80.6628,0,6,1,0,"30.5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",12099,9.7536,0.823,7.925
"1810",1810,"FL","Central District Wastewater Treat Plant",12,86,25.7111,-80.155,0,6,1,0.2194,"7.2","166,816.80","13,839.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","139.67","53.16","0.52","11,840.40","479.9","48.1","206,304.00","12,054.11","0","0","0","0","0","13,839.00","0","0","0","0","0","0",12086,9.7536,0.823,7.925
"1814",1814,"FL","Covanta Lake County Energy",12,69,28.7402,-81.8892,0,1,1,0.6448,"15.5","1,663,554.00","87,557.00","494.94","84.37","166,841.20","116,082.80","15,477.70",-99,"11.3054","11.1741","1.9272","3,811.03","1,325.80","176.77","3,893.67",-99,0.595,0.5897,0.1014,200.58,"11.3054","11.1741","1.9272","3,811.03","1,325.80","176.77","494.94","200.39","84.37","257,481.10","116,082.80","15,477.70","1,663,554.00","18,999.67","0","0","0","0","0","46,142.50","0","0","0","41,414.50","0","41,414.50",12069,21.9456,1.9507,18.3459
"1826",1826,"FL","DeSoto Next Generation Solar Energy",12,27,27.3232,-81.8019,0,1,0,0.2377,"25","0","52,048.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","52,048.00","0","0","0","0",12027,10.973,0.5791,7.163
"1832",1832,"FL","Florida's Natural Growers",12,105,27.9114,-81.6006,0,2,1,0,"10.7","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","102.79","48.76","1.27","43,532.90","1,732.60","173.6","744,866.00","-99","0","0","0","0","0","0","0","0","0","0","0","0",12105,10.973,0.5791,7.163
"1834",1834,"FL","G E Turner",12,127,28.8696,-81.274,0,4,1,0.0086,"180.8","213,429.10","13,647.00","67.87","3.62","17,319.30","1,489.30","297.9",-99,"9.9461","13.5645","0.5304","2,538.18","109.13","21.83","2,547.24",-99,0.636,0.6327,0.0339,162.3,"9.9461","13.5645","0.5304","2,538.18","109.13","21.83","67.87","62.69","3.62","17,319.30","1,489.30","297.9","213,429.10","15,639.27","0","13,647.00","0","0","0","0","0","0","0","0","0","13,647.00",12127,9.144,0.6096,9.144
"1845",1845,"FL","Henry D King",12,111,27.4486,-80.3386,0,7,1,0,"141.8","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",12111,53.34,5.4864,30.75
"1863",1863,"FL","Lansing Smith",12,5,30.2686,-85.7003,0,6,1,0.53,"1,001.50","35,710,488.60","4,649,697.00","2,210.43","5,226.94","2,511,883.30","83,112.80","37,703.70",-99,"0.9508","1.0969","2.2483","1,080.45","17.87","8.11","1,083.34",-99,0.1238,0.1395,0.2927,140.68,"0.9508","1.0969","2.2483","1,080.45","17.87","8.11","2,210.43","1,093.89","5,226.94","2,511,883.30","83,112.80","37,703.70","35,710,488.60","7,680.18","832,838.30","3,175.70","3,813,683.00","0","0","0","0","0","0","0","0","4,649,697.00",12005,11.278,0.701,9.4795
"1864",1864,"FL","Larsen Memorial",12,105,28.0797,-81.9228,0,5,1,0.0275,"148.9","417,412.90","35,876.00","12.35","0.16","24,822.10","974.1","98.1",-99,"0.6884","0.2998","0.0091","1,383.77","27.15","2.73","1,385.19",-99,0.0592,0.0619,8e-04,118.93,"0.6884","0.2998","0.0091","1,383.77","27.15","2.73","12.35","2.55","0.16","24,822.10","974.1","98.1","417,412.90","11,634.88","0","6.6","35,869.40","0","0","0","0","0","0","0","0","35,876.00",12105,10.973,0.5791,7.163
"1866",1866,"FL","Lee County Solid Waste Energy",12,71,26.6315,-81.7607,0,2,1,0.5742,"59","5,061,617.60","296,753.00","537.7","7,139.79","529,762.70","351,878.80","46,927.00",-99,"3.6239","3.6569","48.1194","3,570.40","1,185.76","158.13","3,644.32",-99,0.2125,0.2118,2.8211,209.33,"3.6239","3.6569","48.1194","3,570.40","1,185.76","158.13","537.7","221.48","7,139.79","804,402.40","351,878.80","46,927.00","5,061,617.60","17,056.67","0","1,223.50","0","0","0","155,744.10","0","0","0","139,785.50","0","141,009.00",12071,45.72,5.4864,48.37
"1871",1871,"FL","McKay Bay Facility",12,57,27.9495,-82.4212,0,1,1,0.7668,"22.1","3,115,373.70","148,446.00","342.37","282.79","292,585.30","217,390.80","28,985.40",-99,"4.6127","4.7101","3.8101","3,941.98","1,464.44","195.26","4,033.26",-99,0.2198,0.2157,0.1815,187.83,"4.6127","4.7101","3.8101","3,941.98","1,464.44","195.26","342.37","147.94","282.79","462,328.50","217,390.80","28,985.40","3,115,373.70","20,986.58","0","0","0","0","0","78,231.00","0","0","0","70,215.00","0","70,215.00",12057,17.831,0.6096,8.23
"1885",1885,"FL","Okeelanta Cogeneration",12,99,26.5769,-80.7469,0,2,1,0.2161,"128.9","1,614,954.50","243,978.00","114.91","8.03","9,585.70","101,680.70","13,545.70",-99,"0.942","0.5697","0.0658","78.58","416.76","55.52","104.54",-99,0.1423,0.1476,0.0099,11.87,"0.942","0.5697","0.0658","78.58","416.76","55.52","692.92","170.19","48.44","1,135,083.10","613,142.60","81,681.90","9,738,297.90","6,619.26","0","350.7","17,312.00","0","0","226,315.30","0","0","0","0","0","17,662.70",12099,9.7536,0.823,7.925
"1904",1904,"FL","Rayonier Fernandina Mill",12,89,30.6612,-81.473,0,4,1,0.511,"49.5","1,228,637.90","221,601.00","83.77","37.95","2,677.10","83,821.80","11,190.40",-99,"0.7561","0.8207","0.3425","24.16","378.26","50.5","47.76",-99,0.1364,0.1369,0.0618,4.36,"0.7561","0.8207","0.3425","24.16","378.26","50.5","540.19","229.62","244.74","869,623.90","540,516.90","72,160.40","7,922,758.20","5,544.37","0","5,422.20","0","0","0","215,698.30","0","0","0","480.5","0","5,902.70",12089,7.8334,0.4572,10.15
"1908",1908,"FL","RP-Orlando, LLC",12,95,28.4889,-81.1822,0,1,0,0.2279,"5.1","0","10,183.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","10,183.00","0","0","0","0",12095,11.613,0.4572,7.01
"1911",1911,"FL","Santa Rosa Energy Center",12,113,30.5664,-87.115,0,2,1,0.3566,"274.5","6,459,185.20","857,577.00","100","1.94","383,858.30","15,024.10","1,505.00",-99,"0.2332","0.2299","0.0045","895.22","17.52","1.75","896.13",-99,0.031,0.0306,6e-04,118.86,"0.2332","0.2299","0.0045","895.22","17.52","1.75","100","52.23","1.94","383,858.30","15,024.10","1,505.00","6,459,185.20","7,531.90","0","0","857,577.00","0","0","0","0","0","0","0","0","857,577.00",12113,9.7536,0.762,7.59
"1913",1913,"FL","Seminole",12,107,29.7331,-81.6328,0,3,1,0.5889,"1,471.80","73,415,439.40","7,593,188.00","1,853.70","13,760.78","7,532,424.20","170,764.30","256,146.50",-99,"0.4883","0.4866","3.6245","1,984.00","22.49","33.73","1,994.92",-99,0.0505,0.0517,0.3749,205.2,"0.4883","0.4866","3.6245","1,984.00","22.49","33.73","1,853.70","908.9","13,760.78","7,532,424.20","170,764.30","256,146.50","73,415,439.40","9,668.59","7,571,944.50","21,243.50","0","0","0","0","0","0","0","0","0","7,593,188.00",12107,18.288,0.9144,7.559
"1932",1932,"FL","Stone Container Panama City Mill",12,5,30.142,-85.6211,0,3,1,0.7931,"34","1,898,714.50","236,214.90","197.78","518.18","18,293.10","36,989.50","9,864.20",-99,"1.6745","1.6068","4.3874","154.88","156.59","41.76","171.12",-99,0.2083,0.1976,0.5458,19.27,"1.6745","1.6068","4.3874","154.88","156.59","41.76","1,681.05","686.64","4,404.43","1,612,522.00","314,402.70","83,843.40","16,138,669.40","8,038.08","9,356.30","3,569.70","17,497.80","0","0","205,791.20","0","0","0","0","0","30,423.80",12005,9.6774,0.6096,8.26
"1943",1943,"FL","Trail Ridge Landfill Gas Recovery",12,31,30.3167,-81.9833,0,6,1,0.4843,"9.6","722,381.00","40,728.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","489.05","186.16","2.53","41,459.70","1,680.30","168.3","722,381.00","17,736.72","0","0","0","0","0","40,728.00","0","0","0","0","0","0",12031,11.613,0.4572,7.01
"1947",1947,"FL","University of Florida",12,1,29.6403,-82.3486,0,1,1,0.9592,"43","3,010,560.10","361,306.00","99.95","0.9","178,911.10","7,002.60","701.5",-99,"0.5533","0.4687","0.005","990.36","19.38","1.94","991.37",-99,0.0664,0.0654,6e-04,118.86,"0.5533","0.4687","0.005","990.36","19.38","1.94","116.08","46.64","1.05","207,773.70","8,132.20","814.6","3,496,234.50","8,332.44","0","0","361,306.00","0","0","0","0","0","0","0","0","361,306.00",12001,9.7536,0.4572,9.296
"1953",1953,"FL","W E Swoope",12,127,29.0219,-80.9644,0,3,1,0,"5.1","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",12127,9.144,0.6706,13.1064
"1956",1956,"FL","Wheelabrator North Broward",12,11,26.2878,-80.1581,0,1,1,0.7261,"67.6","8,504,672.70","430,001.00","1,413.14","10,784.31","799,486.80","593,456.10","79,127.50",-99,"6.5727","6.7182","50.1595","3,718.53","1,380.13","184.02","3,804.56",-99,0.3323,0.334,2.5361,188.01,"6.5727","6.7182","50.1595","3,718.53","1,380.13","184.02","1,413.14","593.63","10,784.31","1,262,869.70","593,456.10","79,127.50","8,504,672.70","19,778.26","0","0","0","0","0","226,610.50","0","0","0","203,390.50","0","203,390.50",12011,11.613,0.4572,7.01
